Tabela,Localização,Vaga,Vaga proporcional,Marca
natasha,LADO ICC SUL,1,-56 ou 1,Europeu
joao_neves,LADO ICC SUL,5,-52 ou 5,Japones
joao_neves,LADO ICC SUL,10,-47 ou 10,Europeu
camila,LADO ICC SUL,15,-42 ou 15,Europeu
natasha,LADO ICC SUL,49,-8 ou 49,Europeu
natasha,LADO ICC SUL,52,-5 ou 52,Americano
joao_neves,LADO ICC SUL,55,-2 ou 55,Americano
natasha,LADO ICC SUL,56,-1 ou 56,Japones
joao_neves,LADO RU,61,-23 ou 4,Sem carro
natasha,LADO RU,74,-10 ou 17,Europeu
camila,LADO RU,76,-8 ou 19,Japones
joao_neves,LADO PARADA,87,-51 ou 3,Sem carro
natasha,LADO PARADA,98,-40 ou 14,Sem carro
camila,LADO PARADA,99,-39 ou 15,Sem carro
natasha,LADO PARADA,104,-34 ou 20,Sem carro
natasha,LADO PARADA,112,-26 ou 28,Sem carro
camila,LADO PARADA,122,-16 ou 38,Sem carro
joao_neves,LADO PARADA,123,-15 ou 39,Sem carro
joao_neves,LADO PARADA,124,-14 ou 40,Sem carro
joao_neves,LADO PARADA,136,-2 ou 52,Sem carro
joao_neves,LADO IB,151,-34 ou 13,Sem carro
joao_neves,LADO IB,156,-29 ou 18,Sem carro
camila,LADO IB,161,-24 ou 23,Sem carro
natasha,LADO IB,162,-23 ou 24,Sem carro
joao_neves,LADO IB,163,-22 ou 25,Sem carro
joao_neves,LADO IB,165,-20 ou 27,Europeu
joao_neves,LADO IB,168,-17 ou 30,Sem carro
joao_neves,LADO IB,170,-15 ou 32,Americano
joao_neves,LADO IB,179,-6 ou 41,Chines
joao_neves,A1-A2,190,-11 ou 5,Europeu
camila,A1-A2,192,-9 ou 7,Europeu
natasha,A2,203,-36 ou 2,Japones
joao_neves,A2,207,-32 ou 6,Japones
camila,A2,208,-31 ou 7,Europeu
natasha,A2,215,-24 ou 14,Americano
camila,A2,223,-16 ou 22,Europeu
natasha,A2,224,-15 ou 23,Americano
camila,A2-A3,240,-12 ou 1,Europeu
natasha,A2-A3,246,-6 ou 7,Europeu
joao_neves,A3,257,-33 ou 5,Europeu
natasha,A3,262,-28 ou 10,Europeu
natasha,A3,268,-22 ou 16,Europeu
joao_neves,A3,279,-11 ou 27,Europeu
joao_neves,A3-A4,299,-5 ou 9,Sem carro
camila,A3-A4,300,-4 ou 10,Sem carro
joao_neves,A4,323,-19 ou 19,Europeu
